Student_ID,Gender,Academic_Level,Avg_Daily_Usage_Hours,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Most_Used_Platform_Facebook,Most_Used_Platform_Instagram,Most_Used_Platform_KakaoTalk,Most_Used_Platform_LINE,Most_Used_Platform_LinkedIn,Most_Used_Platform_Snapchat,Most_Used_Platform_TikTok,Most_Used_Platform_Twitter,Most_Used_Platform_VKontakte,Most_Used_Platform_WeChat,Most_Used_Platform_WhatsApp,Most_Used_Platform_YouTube,Relationship_Status_Complicated,Relationship_Status_In Relationship,Relationship_Status_Single
1,0,0.5,0.5285714285714286,1,0.4655172413793105,0.40000000000000013,0.6000000000000001,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,1.0,0.08571428571428572,0,0.6379310344827587,0.8,0.0,0.14285714285714285,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3,0,0.5,0.6428571428571428,1,0.206896551724138,0.19999999999999996,0.8,0.9999999999999999,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4,1,0.0,0.21428571428571427,0,0.5517241379310345,0.6000000000000001,0.2,0.2857142857142857,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
5,1,1.0,0.4285714285714285,1,0.3793103448275863,0.40000000000000013,0.4,0.7142857142857143,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,0,0.5,0.8142857142857142,1,0.12068965517241392,0.0,1.0,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,1,1.0,0.0,0,0.7241379310344829,1.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8,0,0.5,0.6142857142857142,1,0.3793103448275863,0.40000000000000013,0.4,0.8571428571428571,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
9,1,0.0,0.3571428571428571,0,0.4655172413793105,0.6000000000000001,0.2,0.4285714285714285,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
10,0,1.0,0.2571428571428571,0,0.5517241379310345,0.6000000000000001,0.2,0.2857142857142857,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
11,1,0.5,0.4714285714285713,1,0.413793103448276,0.19999999999999996,0.6000000000000001,0.7142857142857143,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
12,0,0.5,0.5714285714285714,1,0.3448275862068966,0.40000000000000013,0.4,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
13,1,1.0,0.1857142857142857,0,0.5862068965517242,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14,0,0.0,0.7142857142857142,1,0.2931034482758621,0.19999999999999996,0.8,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
15,1,0.5,0.3142857142857143,0,0.517241379310345,0.6000000000000001,0.4,0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
16,0,0.5,0.3857142857142857,1,0.3793103448275863,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
17,1,1.0,0.07142857142857142,0,0.6896551724137931,0.8,0.0,0.14285714285714285,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
18,0,0.0,0.4999999999999999,1,0.3275862068965518,0.19999999999999996,0.6000000000000001,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
19,1,0.5,0.2857142857142857,0,0.5000000000000002,0.6000000000000001,0.2,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,0,0.5,0.4571428571428571,1,0.36206896551724155,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21,1,0.0,0.5428571428571428,1,0.2931034482758621,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
22,0,1.0,0.14285714285714282,0,0.603448275862069,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
23,1,0.5,0.48571428571428577,1,0.3448275862068966,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24,0,0.5,0.6,1,0.27586206896551735,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
25,1,1.0,0.24285714285714285,0,0.5344827586206897,0.6000000000000001,0.4,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26,0,0.0,0.657142857142857,1,0.24137931034482774,0.19999999999999996,0.8,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
27,1,0.5,0.3285714285714285,0,0.48275862068965525,0.6000000000000001,0.2,0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
28,0,0.5,0.41428571428571426,1,0.36206896551724155,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
29,1,1.0,0.1,0,0.6206896551724139,0.8,0.0,0.14285714285714285,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
30,0,0.0,0.6285714285714286,1,0.2586206896551725,0.19999999999999996,0.8,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
31,1,0.5,0.29999999999999993,0,0.5000000000000002,0.6000000000000001,0.2,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,0,0.5,0.4714285714285713,1,0.3275862068965518,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33,1,0.0,0.5571428571428572,1,0.27586206896551735,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
34,0,1.0,0.15714285714285717,0,0.5862068965517242,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
35,1,0.5,0.4571428571428571,1,0.3448275862068966,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
36,0,0.5,0.5857142857142856,1,0.2931034482758621,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
37,1,1.0,0.22857142857142856,0,0.517241379310345,0.6000000000000001,0.2,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
38,0,0.0,0.6714285714285714,1,0.22413793103448276,0.19999999999999996,0.8,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
39,1,0.5,0.34285714285714275,0,0.4655172413793105,0.6000000000000001,0.4,0.5714285714285714,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
40,0,0.5,0.4285714285714285,1,0.3448275862068966,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
41,1,1.0,0.11428571428571424,0,0.603448275862069,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
42,0,0.0,0.6142857142857142,1,0.27586206896551735,0.19999999999999996,0.8,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
43,1,0.5,0.3142857142857143,0,0.48275862068965525,0.6000000000000001,0.4,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44,0,0.5,0.4428571428571427,1,0.3275862068965518,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
45,1,0.0,0.5714285714285714,1,0.2586206896551725,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
46,0,1.0,0.17142857142857146,0,0.5689655172413794,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
47,1,0.5,0.4714285714285713,1,0.36206896551724155,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
48,0,0.5,0.5714285714285714,1,0.31034482758620696,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
49,1,1.0,0.2571428571428571,0,0.5000000000000002,0.6000000000000001,0.4,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50,0,0.0,0.6857142857142856,1,0.24137931034482774,0.19999999999999996,0.8,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
51,1,0.5,0.3285714285714285,0,0.44827586206896575,0.6000000000000001,0.4,0.5714285714285714,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
52,0,0.5,0.4571428571428571,1,0.3448275862068966,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
53,1,1.0,0.12857142857142853,0,0.5862068965517242,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
54,0,0.0,0.6,1,0.2931034482758621,0.19999999999999996,0.8,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
55,1,0.5,0.29999999999999993,0,0.4655172413793105,0.6000000000000001,0.4,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
56,0,0.5,0.48571428571428577,1,0.31034482758620696,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
57,1,0.0,0.5857142857142856,1,0.24137931034482774,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
58,0,1.0,0.1857142857142857,0,0.5517241379310345,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
59,1,0.5,0.4428571428571427,1,0.36206896551724155,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
60,0,0.5,0.5571428571428572,1,0.3275862068965518,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
61,1,1.0,0.22857142857142856,0,0.5689655172413794,0.6000000000000001,0.2,0.4285714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62,0,0.5,0.5857142857142856,1,0.31034482758620696,0.19999999999999996,0.6000000000000001,0.8571428571428571,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
63,1,0.5,0.3857142857142857,1,0.3793103448275863,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
64,0,0.0,0.657142857142857,1,0.24137931034482774,0.0,0.8,0.9999999999999999,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
65,1,1.0,0.11428571428571424,0,0.6206896551724139,0.8,0.2,0.14285714285714285,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
66,0,0.5,0.4714285714285713,1,0.3448275862068966,0.40000000000000013,0.6000000000000001,0.7142857142857143,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
67,1,0.5,0.34285714285714275,0,0.4655172413793105,0.6000000000000001,0.4,0.5714285714285714,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
68,0,0.0,0.6,1,0.27586206896551735,0.19999999999999996,0.8,0.8571428571428571,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
69,1,1.0,0.1857142857142857,0,0.5862068965517242,0.8,0.2,0.2857142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
